#DNA_BINDING PROTEINS,,,,,
MONOMERS FRAME  6973,,,,,
COMPLEXES FRAME  6960,,,,,
protId, coordinates, strand, dna_footprint,,
DNA_GYRASE,44651,1,140,,
DNA_GYRASE,51422,1,140,,
DNA_GYRASE,56720,1,140,,
DNA_GYRASE,59665,1,140,,
DNA_GYRASE,83765,1,140,,
DNA_GYRASE,94971,1,140,,
DNA_GYRASE,101644,1,140,,
DNA_GYRASE,106615,1,140,,
DNA_GYRASE,112117,1,140,,
DNA_GYRASE,113303,1,140,,
DNA_GYRASE,127998,1,140,,
DNA_GYRASE,159575,1,140,,
DNA_GYRASE,185600,1,140,,
DNA_GYRASE,191009,1,140,,
DNA_GYRASE,204208,1,140,,
DNA_GYRASE,211568,1,140,,
DNA_GYRASE,218181,1,140,,
DNA_GYRASE,222329,1,140,,
DNA_GYRASE,224581,1,140,,
DNA_GYRASE,246649,1,140,,
DNA_GYRASE,248562,1,140,,
DNA_GYRASE,251049,1,140,,
DNA_GYRASE,256015,1,140,,
DNA_GYRASE,270751,1,140,,
DNA_GYRASE,301883,1,140,,
DNA_GYRASE,310157,1,140,,
DNA_GYRASE,337422,1,140,,
DNA_GYRASE,338431,1,140,,
DNA_GYRASE,351734,1,140,,
DNA_GYRASE,358437,1,140,,
DNA_GYRASE,369273,1,140,,
DNA_GYRASE,372969,1,140,,
DNA_GYRASE,386273,1,140,,
DNA_GYRASE,393913,1,140,,
DNA_GYRASE,402338,1,140,,
DNA_GYRASE,408335,1,140,,
DNA_GYRASE,408728,1,140,,
DNA_GYRASE,422839,1,140,,
DNA_GYRASE,438210,1,140,,
DNA_GYRASE,448162,1,140,,
DNA_GYRASE,483409,1,140,,
DNA_GYRASE,488611,1,140,,
DNA_GYRASE,493160,1,140,,
DNA_GYRASE,524830,1,140,,
DNA_GYRASE,548579,1,140,,
DNA_GYRASE,550056,1,140,,
DNA_GYRASE,553273,1,140,,
DNA_GYRASE,570754,1,140,,
DNA_GYRASE,578112,1,140,,
MG_101_MONOMER,128634,1,30,,
MG_205_DIMER,283321,1,33,,
MG_205_DIMER,376752,1,33,,
MG_213_214_298_6MER_ADP,772,1,630,,
MG_213_214_298_6MER_ADP,6276,1,630,,
MG_213_214_298_6MER_ADP,13285,1,630,,
MG_213_214_298_6MER_ADP,21222,1,630,,
MG_213_214_298_6MER_ADP,30576,1,630,,
MG_213_214_298_6MER_ADP,37235,1,630,,
MG_213_214_298_6MER_ADP,43049,1,630,,
MG_213_214_298_6MER_ADP,48373,1,630,,
MG_213_214_298_6MER_ADP,54587,1,630,,
MG_213_214_298_6MER_ADP,60965,1,630,,
MG_213_214_298_6MER_ADP,66260,1,630,,
MG_213_214_298_6MER_ADP,72130,1,630,,
MG_213_214_298_6MER_ADP,79384,1,630,,
MG_213_214_298_6MER_ADP,84730,1,630,,
MG_213_214_298_6MER_ADP,90091,1,630,,
MG_213_214_298_6MER_ADP,96856,1,630,,
MG_213_214_298_6MER_ADP,102435,1,630,,
MG_213_214_298_6MER_ADP,111083,1,630,,
MG_213_214_298_6MER_ADP,118832,1,630,,
MG_213_214_298_6MER_ADP,126440,1,630,,
MG_213_214_298_6MER_ADP,131817,1,630,,
MG_213_214_298_6MER_ADP,138281,1,630,,
MG_213_214_298_6MER_ADP,144539,1,630,,
MG_213_214_298_6MER_ADP,149911,1,630,,
MG_213_214_298_6MER_ADP,156654,1,630,,
MG_213_214_298_6MER_ADP,162061,1,630,,
MG_213_214_298_6MER_ADP,168886,1,630,,
MG_213_214_298_6MER_ADP,176031,1,630,,
MG_213_214_298_6MER_ADP,181976,1,630,,
MG_213_214_298_6MER_ADP,187383,1,630,,
MG_213_214_298_6MER_ADP,192761,1,630,,
MG_213_214_298_6MER_ADP,198052,1,630,,
MG_213_214_298_6MER_ADP,203358,1,630,,
MG_213_214_298_6MER_ADP,209074,1,630,,
MG_213_214_298_6MER_ADP,215479,1,630,,
MG_213_214_298_6MER_ADP,225141,1,630,,
MG_213_214_298_6MER_ADP,231065,1,630,,
MG_213_214_298_6MER_ADP,236345,1,630,,
MG_213_214_298_6MER_ADP,244539,1,630,,
MG_213_214_298_6MER_ADP,251255,1,630,,
MG_213_214_298_6MER_ADP,259463,1,630,,
MG_213_214_298_6MER_ADP,267943,1,630,,
MG_213_214_298_6MER_ADP,273278,1,630,,
MG_213_214_298_6MER_ADP,279136,1,630,,
MG_213_214_298_6MER_ADP,284615,1,630,,
MG_213_214_298_6MER_ADP,290057,1,630,,
MG_213_214_298_6MER_ADP,298224,1,630,,
MG_213_214_298_6MER_ADP,306000,1,630,,
MG_213_214_298_6MER_ADP,312401,1,630,,
MG_213_214_298_6MER_ADP,318482,1,630,,
MG_213_214_298_6MER_ADP,324049,1,630,,
MG_213_214_298_6MER_ADP,330238,1,630,,
MG_213_214_298_6MER_ADP,335572,1,630,,
MG_213_214_298_6MER_ADP,342537,1,630,,
MG_213_214_298_6MER_ADP,347841,1,630,,
MG_213_214_298_6MER_ADP,355493,1,630,,
MG_213_214_298_6MER_ADP,363657,1,630,,
MG_213_214_298_6MER_ADP,371757,1,630,,
MG_213_214_298_6MER_ADP,379041,1,630,,
MG_213_214_298_6MER_ADP,385576,1,630,,
MG_213_214_298_6MER_ADP,390955,1,630,,
MG_213_214_298_6MER_ADP,398285,1,630,,
MG_213_214_298_6MER_ADP,403900,1,630,,
MG_213_214_298_6MER_ADP,409384,1,630,,
MG_213_214_298_6MER_ADP,415135,1,630,,
MG_213_214_298_6MER_ADP,421406,1,630,,
MG_213_214_298_6MER_ADP,426882,1,630,,
MG_213_214_298_6MER_ADP,434598,1,630,,
MG_213_214_298_6MER_ADP,440077,1,630,,
MG_213_214_298_6MER_ADP,446477,1,630,,
MG_213_214_298_6MER_ADP,453273,1,630,,
MG_213_214_298_6MER_ADP,458621,1,630,,
MG_213_214_298_6MER_ADP,464413,1,630,,
MG_213_214_298_6MER_ADP,469838,1,630,,
MG_213_214_298_6MER_ADP,477201,1,630,,
MG_213_214_298_6MER_ADP,483989,1,630,,
MG_213_214_298_6MER_ADP,491565,1,630,,
MG_213_214_298_6MER_ADP,498160,1,630,,
MG_213_214_298_6MER_ADP,504888,1,630,,
MG_213_214_298_6MER_ADP,510843,1,630,,
MG_213_214_298_6MER_ADP,516795,1,630,,
MG_213_214_298_6MER_ADP,522148,1,630,,
MG_213_214_298_6MER_ADP,529706,1,630,,
MG_213_214_298_6MER_ADP,535222,1,630,,
MG_213_214_298_6MER_ADP,541306,1,630,,
MG_213_214_298_6MER_ADP,546990,1,630,,
MG_213_214_298_6MER_ADP,554280,1,630,,
MG_213_214_298_6MER_ADP,561639,1,630,,
MG_213_214_298_6MER_ADP,568659,1,630,,
MG_213_214_298_6MER_ADP,574584,1,630,,
MG_236_MONOMER,39058,1,36,,
MG_236_MONOMER,160981,1,36,,
MG_236_MONOMER,188554,1,36,,
MG_236_MONOMER,402938,1,36,,
MG_236_MONOMER,446197,1,36,,
MG_428_DIMER,128603,1,28,,
MG_428_DIMER,552553,1,28,,
MG_469_1MER_ATP,3785,1,11,,
MG_469_1MER_ATP,47065,1,11,,
MG_469_1MER_ATP,51134,1,11,,
MG_469_1MER_ATP,51263,1,11,,
MG_469_1MER_ATP,59972,1,11,,
MG_469_1MER_ATP,67943,1,11,,
MG_469_1MER_ATP,75017,1,11,,
MG_469_1MER_ATP,116369,1,11,,
MG_469_1MER_ATP,117973,1,11,,
MG_469_1MER_ATP,127943,1,11,,
MG_469_1MER_ATP,131779,1,11,,
MG_469_1MER_ATP,211434,1,11,,
MG_469_1MER_ATP,267244,1,11,,
MG_469_1MER_ATP,274067,1,11,,
MG_469_1MER_ATP,278966,1,11,,
MG_469_1MER_ATP,281950,1,11,,
MG_469_1MER_ATP,304307,1,11,,
MG_469_1MER_ATP,312075,1,11,,
MG_469_1MER_ATP,313676,1,11,,
MG_469_1MER_ATP,338046,1,11,,
MG_469_1MER_ATP,346260,1,11,,
MG_469_1MER_ATP,362559,1,11,,
MG_469_1MER_ATP,396819,1,11,,
MG_469_1MER_ATP,402138,1,11,,
MG_469_1MER_ATP,407137,1,11,,
MG_469_1MER_ATP,410216,1,11,,
MG_469_1MER_ATP,412596,1,11,,
MG_469_1MER_ATP,421237,1,11,,
MG_469_1MER_ATP,486091,1,11,,
MG_469_1MER_ATP,486435,1,11,,
MG_469_1MER_ATP,498793,1,11,,
MG_469_1MER_ATP,526518,1,11,,
MG_469_1MER_ATP,538579,1,11,,
MG_469_1MER_ATP,544814,1,11,,
MG_469_6MER_ATP,578895,1,11,,
MG_469_7MER_ATP,578791,1,11,,
MG_469_7MER_ATP,578923,1,11,,
MG_469_7MER_ATP,579010,1,11,,
,,,,,
#RNA_POLY,,,,,
#coordinate: refers to the START of RNApoly,,,,,
 #state: -3=>promoter bound; -2=>free; -1=>non-specifically bound; 0=>not exist; 1=>actively transcribing,,,,,
