#DNA_BINDING PROTEINS
MONOMERS FRAME  6973
COMPLEXES FRAME  6960
protId, coordinates, strand, dna_footprint
MG_236_MONOMER,39058,1,36
MG_101_MONOMER,128634,1,30
MG_236_MONOMER,160981,1,36
MG_236_MONOMER,188554,1,36
MG_236_MONOMER,402938,1,36
MG_236_MONOMER,446197,1,36
MG_213_214_298_6MER_ADP,772,1,630
MG_469_1MER_ATP,3785,1,11
MG_213_214_298_6MER_ADP,6276,1,630
RNA_POLYMERASE,7532,1,75
MG_213_214_298_6MER_ADP,13285,1,630
MG_213_214_298_6MER_ADP,21222,1,630
RNA_POLYMERASE,23668,1,75
RNA_POLYMERASE,25522,1,75
RNA_POLYMERASE,26477,1,75
RNA_POLYMERASE,29668,1,75
MG_213_214_298_6MER_ADP,30576,1,630
MG_213_214_298_6MER_ADP,37235,1,630
MG_213_214_298_6MER_ADP,43049,1,630
RNA_POLYMERASE,43857,1,75
DNA_GYRASE,44651,1,140
MG_469_1MER_ATP,47065,1,11
MG_213_214_298_6MER_ADP,48373,1,630
MG_469_1MER_ATP,51134,1,11
MG_469_1MER_ATP,51263,1,11
DNA_GYRASE,51422,1,140
RNA_POLYMERASE,52715,1,75
MG_213_214_298_6MER_ADP,54587,1,630
DNA_GYRASE,56720,1,140
DNA_GYRASE,59665,1,140
MG_469_1MER_ATP,59972,1,11
MG_213_214_298_6MER_ADP,60965,1,630
MG_213_214_298_6MER_ADP,66260,1,630
MG_469_1MER_ATP,67943,1,11
MG_213_214_298_6MER_ADP,72130,1,630
MG_469_1MER_ATP,75017,1,11
RNA_POLYMERASE,77501,1,75
MG_213_214_298_6MER_ADP,79384,1,630
RNA_POLYMERASE,82655,1,75
DNA_GYRASE,83765,1,140
MG_213_214_298_6MER_ADP,84730,1,630
MG_213_214_298_6MER_ADP,90091,1,630
DNA_GYRASE,94971,1,140
MG_213_214_298_6MER_ADP,96856,1,630
DNA_GYRASE,101644,1,140
MG_213_214_298_6MER_ADP,102435,1,630
DNA_GYRASE,106615,1,140
RNA_POLYMERASE,109395,1,75
RNA_POLYMERASE,110135,1,75
MG_213_214_298_6MER_ADP,111083,1,630
DNA_GYRASE,112117,1,140
DNA_GYRASE,113303,1,140
RNA_POLYMERASE,114339,1,75
RNA_POLYMERASE,115497,1,75
MG_469_1MER_ATP,116369,1,11
RNA_POLYMERASE,117261,1,75
RNA_POLYMERASE,117877,1,75
MG_469_1MER_ATP,117973,1,11
RNA_POLYMERASE,118259,1,75
MG_213_214_298_6MER_ADP,118832,1,630
MG_213_214_298_6MER_ADP,126440,1,630
MG_469_1MER_ATP,127943,1,11
DNA_GYRASE,127998,1,140
MG_428_DIMER,128603,1,28
RNA_POLYMERASE,129526,1,75
MG_469_1MER_ATP,131779,1,11
MG_213_214_298_6MER_ADP,131817,1,630
RNA_POLYMERASE,136760,1,75
MG_213_214_298_6MER_ADP,138281,1,630
MG_213_214_298_6MER_ADP,144539,1,630
RNA_POLYMERASE,146230,1,75
RNA_POLYMERASE,149070,1,75
MG_213_214_298_6MER_ADP,149911,1,630
RNA_POLYMERASE,150920,1,75
MG_213_214_298_6MER_ADP,156654,1,630
DNA_GYRASE,159575,1,140
MG_213_214_298_6MER_ADP,162061,1,630
RNA_POLYMERASE,163542,1,75
RNA_POLYMERASE,164131,1,75
RNA_POLYMERASE,164496,1,75
MG_213_214_298_6MER_ADP,168886,1,630
RNA_POLYMERASE,172450,1,75
RNA_POLYMERASE,173953,1,75
MG_213_214_298_6MER_ADP,176031,1,630
MG_213_214_298_6MER_ADP,181976,1,630
RNA_POLYMERASE,184212,1,75
DNA_GYRASE,185600,1,140
MG_213_214_298_6MER_ADP,187383,1,630
DNA_GYRASE,191009,1,140
MG_213_214_298_6MER_ADP,192761,1,630
MG_213_214_298_6MER_ADP,198052,1,630
MG_213_214_298_6MER_ADP,203358,1,630
DNA_GYRASE,204208,1,140
MG_213_214_298_6MER_ADP,209074,1,630
RNA_POLYMERASE,210089,1,75
MG_469_1MER_ATP,211434,1,11
DNA_GYRASE,211568,1,140
MG_213_214_298_6MER_ADP,215479,1,630
DNA_GYRASE,218181,1,140
RNA_POLYMERASE,219756,1,75
DNA_GYRASE,222329,1,140
DNA_GYRASE,224581,1,140
MG_213_214_298_6MER_ADP,225141,1,630
MG_213_214_298_6MER_ADP,231065,1,630
RNA_POLYMERASE,232654,1,75
RNA_POLYMERASE,236191,1,75
MG_213_214_298_6MER_ADP,236345,1,630
MG_213_214_298_6MER_ADP,244539,1,630
DNA_GYRASE,246649,1,140
DNA_GYRASE,248562,1,140
DNA_GYRASE,251049,1,140
MG_213_214_298_6MER_ADP,251255,1,630
RNA_POLYMERASE,253904,1,75
RNA_POLYMERASE,255333,1,75
RNA_POLYMERASE,255542,1,75
DNA_GYRASE,256015,1,140
MG_213_214_298_6MER_ADP,259463,1,630
RNA_POLYMERASE,261992,1,75
RNA_POLYMERASE,266831,1,75
MG_469_1MER_ATP,267244,1,11
MG_213_214_298_6MER_ADP,267943,1,630
RNA_POLYMERASE,270078,1,75
DNA_GYRASE,270751,1,140
RNA_POLYMERASE,272775,1,75
MG_213_214_298_6MER_ADP,273278,1,630
MG_469_1MER_ATP,274067,1,11
RNA_POLYMERASE,278780,1,75
MG_469_1MER_ATP,278966,1,11
MG_213_214_298_6MER_ADP,279136,1,630
MG_469_1MER_ATP,281950,1,11
RNA_POLYMERASE,283063,1,75
MG_205_DIMER,283321,1,33
RNA_POLYMERASE,283405,1,75
RNA_POLYMERASE,284321,1,75
MG_213_214_298_6MER_ADP,284615,1,630
MG_213_214_298_6MER_ADP,290057,1,630
MG_213_214_298_6MER_ADP,298224,1,630
DNA_GYRASE,301883,1,140
MG_469_1MER_ATP,304307,1,11
MG_213_214_298_6MER_ADP,306000,1,630
DNA_GYRASE,310157,1,140
MG_469_1MER_ATP,312075,1,11
MG_213_214_298_6MER_ADP,312401,1,630
MG_469_1MER_ATP,313676,1,11
