#coordinate: refers to the START of RNApoly
 #state: -3=>promoter bound; -2=>free; -1=>non-specifically bound; 0=>not exist; 1=>actively transcribing
 #TU not for mRNA=> TU_088: rRNA; TU_178/TU_181/TU_226/TU_227: sRNA;TU_007/TU_037/TU_123/TU_134/TU_135/TU_136/TU_137/TU_138/TU_139/TU_140/TU_141/TU_146/TU_166/TU_168/TU_172/TU_187/TU_188/TU_189/TU_194/TU_220/TU_221/TU_223/TU_248/TU_250/TU_252/TU_276: tRNA
 coordinate (nt), strand, state, transcript length (nt), TranscriptionUnit id
210089,1,1523,1523,113
329252,2,1734,1734,180
64530,2,1719,1719,32
118259,1,235,235,58
553780,2,1835,1835,321
375635,2,1072,1072,208
172450,1,2444,2444,88
327968,2,3018,3018,180
184212,1,160,160,93
332662,2,2112,2112,182
327758,2,3228,3228,180
403227,2,475,475,223
562464,2,141,141,326
26477,1,442,442,11
150920,1,5948,5948,74
117261,1,336,336,56
253904,1,1325,1325,132
163542,1,2580,2580,86
255333,1,713,713,133
149070,1,4098,4098,74
366898,2,1633,1633,202
173953,1,3947,3947,88
433489,2,5152,5152,242
0,0,0,0,0
371421,2,543,543,204
527558,2,3660,3660,301
283063,1,1071,1071,154
334244,2,530,530,182
232654,1,646,646,119
278780,1,4128,4128,151
0,0,-2,0,0
136760,1,1992,1992,68
129526,1,840,840,63
403693,2,9,9,223
146230,1,1258,1258,74
331498,2,3276,3276,182
52715,1,2876,2876,25
77501,1,3812,3812,40
164496,1,3534,3534,86
219756,1,2996,2996,116
336903,2,1422,1422,184
164131,1,3169,3169,86
334519,2,255,255,182
371302,1,-1,0,0
344333,2,5,5,189
117877,1,325,325,57
302990,2,1836,1836,165
524034,2,7184,7184,301
495869,2,1092,1092,285
270078,1,829,829,148
344126,2,-3,0,187
82655,1,-1,0,0
239362,2,-1,0,0
370201,2,1763,1763,204
7532,1,239,239,3
25522,1,3134,3134,10
283405,1,10,10,155
115497,1,2780,2780,55
460825,2,127,127,264
236191,1,675,675,120
213045,2,-1,0,0
441550,2,2329,2329,246
490218,2,946,946,282
29668,1,117,117,13
43857,1,-1,0,0
399319,2,480,480,219
331965,2,2809,2809,182
114339,1,1622,1622,55
375410,2,1297,1297,208
538239,2,53,53,307
540504,1,872,872,309
266831,1,166,166,147
255542,1,922,922,133
471419,2,3160,3160,271
403470,2,232,232,223
110135,1,874,874,52
109395,1,134,134,52
448840,1,58,58,252
333097,2,1677,1677,182
566471,2,1170,1170,330
366565,2,1966,1966,202
272775,1,2371,2371,149
261992,1,2816,2816,143
23668,1,1280,1280,10
400013,1,54,54,221
0,0,-2,0,0
