# #name, id, TU, TU length, copy id, ribosome_position (in RIBOSOME)
mRNA,0,TU_003,4746,3, 0
mRNA,1,TU_003,4746,3, 0
mRNA,2,TU_003,4746,3, 0
mRNA,3,TU_005,1732,1, 0
mRNA,4,TU_018,1245,1, 0
mRNA,5,TU_023,1776,1, 0
mRNA,6,TU_029,2644,1, 0
mRNA,7,TU_031,1479,1, 0
mRNA,8,TU_033,999,1, 0
mRNA,9,TU_039,912,1, 0
mRNA,10,TU_043,2727,1, 0
mRNA,11,TU_056,627,2, 0
mRNA,12,TU_056,627,2, 0
mRNA,13,TU_057,483,2, 0
mRNA,14,TU_057,483,2, 0
mRNA,15,TU_064,234,1, 0
mRNA,16,TU_066,603,2, 0
mRNA,17,TU_066,603,2, 0
mRNA,18,TU_067,582,1, 0
mRNA,19,TU_074,6356,1, 0
mRNA,20,TU_075,1416,1, 0
mRNA,21,TU_082,426,1, 0
mRNA,22,TU_090,1596,1, 0
mRNA,23,TU_099,321,1, 0
mRNA,24,TU_102,4894,2, 0
mRNA,25,TU_102,4894,2, 0
mRNA,26,TU_106,114,1, 0
mRNA,27,TU_127,504,1, 0
mRNA,28,TU_132,2023,1, 0
mRNA,29,TU_148,1110,1, 0
mRNA,30,TU_151,4160,1, 0
mRNA,31,TU_159,2798,1, 0
mRNA,32,TU_160,498,1, 0
mRNA,33,TU_171,2298,1, 0
mRNA,34,TU_173,4361,1, 0
mRNA,35,TU_176,3582,1, 0
mRNA,36,TU_180,3553,2, 0
mRNA,37,TU_180,3553,2, 0
mRNA,38,TU_182,3539,4, 0
mRNA,39,TU_182,3539,4, 0
mRNA,40,TU_182,3539,4, 0
mRNA,41,TU_182,3539,4, 0
mRNA,42,TU_198,4912,1, 0
mRNA,43,TU_204,2251,1, 0
mRNA,44,TU_206,1074,1, 0
mRNA,45,TU_213,618,1, 0
mRNA,46,TU_233,2608,1, 0
mRNA,47,TU_245,822,1, 0
mRNA,48,TU_249,969,1, 0
mRNA,49,TU_251,2150,1, 0
mRNA,50,TU_260,1182,2, 0
mRNA,51,TU_260,1182,2, 0
mRNA,52,TU_263,1056,1, 0
mRNA,53,TU_285,3337,1, 0
mRNA,54,TU_286,1221,1, 0
mRNA,55,TU_295,474,1, 0
mRNA,56,TU_302,261,3, 0
mRNA,57,TU_302,261,3, 0
mRNA,58,TU_302,261,3, 0
mRNA,59,TU_304,195,2, 0
mRNA,60,TU_304,195,2, 0
mRNA,61,TU_309,897,2, 0
mRNA,62,TU_309,897,2, 0
mRNA,63,TU_317,1326,1, 0
mRNA,64,TU_322,1649,1, 0
mRNA,65,TU_326,2109,1, 0
RIBOSOME,0,TU_003,4746,1, 111
RIBOSOME,1,TU_003,4746,0, 885
