#DNA_BINDING PROTEINS
MONOMERS FRAME  1184
COMPLEXES FRAME  1189
protId, coordinates, strand, dna_footprint
MG_101_MONOMER,128634,1,30
MG_236_MONOMER,160981,1,36
MG_236_MONOMER,188554,1,36
MG_236_MONOMER,374854,1,36
MG_213_214_298_6MER_ADP,1732,1,630
RNA_POLYMERASE,4043,1,75
RNA_POLYMERASE,5238,1,75
MG_213_214_298_6MER_ADP,7771,1,630
RNA_POLYMERASE,8803,1,75
DNA_GYRASE,13597,1,140
MG_213_214_298_6MER_ADP,13879,1,630
MG_469_1MER_ATP,14935,1,11
DNA_GYRASE,16509,1,140
MG_469_1MER_ATP,19649,1,11
DNA_GYRASE,21245,1,140
MG_213_214_298_6MER_ADP,21415,1,630
RNA_POLYMERASE,22693,1,75
DNA_GYRASE,25174,1,140
RNA_POLYMERASE,26370,1,75
MG_469_1MER_ATP,28475,1,11
MG_213_214_298_6MER_ADP,28662,1,630
RNA_POLYMERASE,30255,1,75
DNA_GYRASE,30691,1,140
DNA_GYRASE,33264,1,140
MG_213_214_298_6MER_ADP,34070,1,630
MG_469_1MER_ATP,37712,1,11
MG_213_214_298_6MER_ADP,39900,1,630
DNA_GYRASE,45238,1,140
MG_213_214_298_6MER_ADP,45995,1,630
DNA_GYRASE,49714,1,140
MG_469_1MER_ATP,51263,1,11
MG_213_214_298_6MER_ADP,54196,1,630
MG_469_1MER_ATP,57686,1,11
MG_469_1MER_ATP,59972,1,11
MG_213_214_298_6MER_ADP,60436,1,630
MG_213_214_298_6MER_ADP,65756,1,630
DNA_GYRASE,66424,1,140
MG_213_214_298_6MER_ADP,71397,1,630
DNA_GYRASE,72263,1,140
MG_213_214_298_6MER_ADP,78051,1,630
DNA_GYRASE,78771,1,140
DNA_GYRASE,83397,1,140
MG_469_1MER_ATP,84010,1,11
MG_213_214_298_6MER_ADP,84332,1,630
MG_213_214_298_6MER_ADP,89795,1,630
RNA_POLYMERASE,94434,1,75
MG_213_214_298_6MER_ADP,97064,1,630
MG_469_1MER_ATP,99305,1,11
DNA_GYRASE,100471,1,140
MG_213_214_298_6MER_ADP,103447,1,630
DNA_GYRASE,107508,1,140
MG_213_214_298_6MER_ADP,111219,1,630
RNA_POLYMERASE,115572,1,75
MG_213_214_298_6MER_ADP,116732,1,630
MG_469_1MER_ATP,123294,1,11
MG_213_214_298_6MER_ADP,124515,1,630
RNA_POLYMERASE,125510,1,75
MG_469_1MER_ATP,127943,1,11
MG_428_DIMER,128603,1,28
MG_469_1MER_ATP,129150,1,11
MG_469_1MER_ATP,129520,1,11
MG_213_214_298_6MER_ADP,130006,1,630
RNA_POLYMERASE,135888,1,75
MG_469_1MER_ATP,135969,1,11
MG_213_214_298_6MER_ADP,136609,1,630
MG_469_1MER_ATP,137469,1,11
RNA_POLYMERASE,140731,1,75
MG_213_214_298_6MER_ADP,143472,1,630
RNA_POLYMERASE,145537,1,75
RNA_POLYMERASE,147825,1,75
RNA_POLYMERASE,149672,1,75
MG_213_214_298_6MER_ADP,151450,1,630
DNA_GYRASE,153866,1,140
MG_469_1MER_ATP,156602,1,11
MG_469_1MER_ATP,156854,1,11
MG_469_1MER_ATP,157005,1,11
DNA_GYRASE,157114,1,140
MG_469_1MER_ATP,157785,1,11
MG_213_214_298_6MER_ADP,157825,1,630
DNA_GYRASE,159809,1,140
MG_213_214_298_6MER_ADP,163757,1,630
MG_213_214_298_6MER_ADP,169194,1,630
RNA_POLYMERASE,170072,1,75
RNA_POLYMERASE,171721,1,75
RNA_POLYMERASE,173675,1,75
MG_469_1MER_ATP,174641,1,11
MG_213_214_298_6MER_ADP,174802,1,630
MG_213_214_298_6MER_ADP,181171,1,630
RNA_POLYMERASE,182696,1,75
DNA_GYRASE,186215,1,140
MG_213_214_298_6MER_ADP,190500,1,630
MG_213_214_298_6MER_ADP,196085,1,630
RNA_POLYMERASE,198797,1,75
MG_213_214_298_6MER_ADP,202200,1,630
MG_213_214_298_6MER_ADP,209190,1,630
MG_469_1MER_ATP,211346,1,11
MG_213_214_298_6MER_ADP,214553,1,630
RNA_POLYMERASE,222286,1,75
MG_213_214_298_6MER_ADP,222833,1,630
DNA_GYRASE,225603,1,140
MG_213_214_298_6MER_ADP,229520,1,630
RNA_POLYMERASE,232091,1,75
RNA_POLYMERASE,235280,1,75
MG_213_214_298_6MER_ADP,235335,1,630
RNA_POLYMERASE,236225,1,75
RNA_POLYMERASE,239148,1,75
MG_469_1MER_ATP,240106,1,11
MG_213_214_298_6MER_ADP,241427,1,630
DNA_GYRASE,244189,1,140
MG_469_1MER_ATP,245741,1,11
DNA_GYRASE,248101,1,140
MG_213_214_298_6MER_ADP,248597,1,630
DNA_GYRASE,251615,1,140
MG_213_214_298_6MER_ADP,256083,1,630
RNA_POLYMERASE,257753,1,75
RNA_POLYMERASE,257866,1,75
MG_469_1MER_ATP,258333,1,11
MG_469_1MER_ATP,259280,1,11
MG_213_214_298_6MER_ADP,263590,1,630
DNA_GYRASE,265160,1,140
MG_469_1MER_ATP,268924,1,11
MG_213_214_298_6MER_ADP,273317,1,630
RNA_POLYMERASE,276949,1,75
RNA_POLYMERASE,277724,1,75
RNA_POLYMERASE,278795,1,75
MG_213_214_298_6MER_ADP,278871,1,630
RNA_POLYMERASE,283532,1,75
MG_213_214_298_6MER_ADP,284153,1,630
RNA_POLYMERASE,285284,1,75
MG_213_214_298_6MER_ADP,289927,1,630
MG_469_1MER_ATP,291363,1,11
MG_213_214_298_6MER_ADP,295281,1,630
DNA_GYRASE,299735,1,140
MG_213_214_298_6MER_ADP,301561,1,630
MG_469_1MER_ATP,303366,1,11
MG_469_1MER_ATP,305152,1,11
MG_213_214_298_6MER_ADP,307252,1,630
MG_469_1MER_ATP,307958,1,11
RNA_POLYMERASE,308572,1,75
RNA_POLYMERASE,309158,1,75
MG_469_1MER_ATP,312075,1,11
MG_469_1MER_ATP,313200,1,11
MG_213_214_298_6MER_ADP,314921,1,630
MG_213_214_298_6MER_ADP,320803,1,630
MG_213_214_298_6MER_ADP,327094,1,630
DNA_GYRASE,330069,1,140
MG_213_214_298_6MER_ADP,333666,1,630
MG_213_214_298_6MER_ADP,339630,1,630
MG_213_214_298_6MER_ADP,344994,1,630
RNA_POLYMERASE,346422,1,75
MG_469_1MER_ATP,348982,1,11
MG_213_214_298_6MER_ADP,350536,1,630
MG_469_1MER_ATP,352862,1,11
MG_213_214_298_6MER_ADP,356797,1,630
MG_469_1MER_ATP,359544,1,11
DNA_GYRASE,360186,1,140
MG_213_214_298_6MER_ADP,362338,1,630
