#coordinate: refers to the START of RNApoly
 #state: -3=>promoter bound; -2=>free; -1=>non-specifically bound; 0=>not exist; 1=>actively transcribing
 #TU not for mRNA=> TU_088: rRNA; TU_178/TU_181/TU_226/TU_227: sRNA;TU_007/TU_037/TU_123/TU_134/TU_135/TU_136/TU_137/TU_138/TU_139/TU_140/TU_141/TU_146/TU_166/TU_168/TU_172/TU_187/TU_188/TU_189/TU_194/TU_220/TU_221/TU_223/TU_248/TU_250/TU_252/TU_276: tRNA
 coordinate (nt), strand, state, transcript length (nt), TranscriptionUnit id
213055,1,1612,1612,114
322155,2,3005,3005,176
3341,1,497,497,2
439941,2,415,415,244
155914,1,916,916,78
453405,2,353,353,258
278238,1,3586,3586,151
314893,2,-1,0,0
236289,1,773,773,120
565075,2,2566,2566,330
407177,2,1778,1778,228
561045,2,1560,1560,326
0,0,0,0,0
170008,1,2,2,88
256475,1,1855,1855,133
559943,2,1,1,325
555333,2,282,282,321
98288,1,1356,1356,47
48788,1,1209,1209,23
255113,1,493,493,133
524611,2,6607,6607,301
443142,2,737,737,246
122426,2,-1,0,0
361419,2,1384,1384,198
545201,2,180,180,314
244330,1,4008,4008,124
15401,2,51,51,7
341264,2,2440,2440,186
35872,2,843,843,14
109978,1,717,717,52
327625,2,3361,3361,180
255478,1,858,858,133
432630,2,6011,6011,242
345652,1,471,471,191
194464,1,-1,0,0
445141,1,64,64,248
494801,2,2160,2160,285
452466,2,-1,0,0
344333,2,5,5,189
495181,2,1780,1780,285
197760,1,584,584,104
329284,2,1702,1702,180
257032,1,2412,2412,133
434507,2,4134,4134,242
418374,2,1107,1107,234
257748,1,7,7,140
480307,2,9,9,276
269810,1,561,561,148
390053,2,1283,1283,214
340044,2,-1,0,0
529734,2,1484,1484,301
332986,2,1788,1788,182
233284,1,1276,1276,119
403422,2,280,280,223
555140,2,475,475,321
403654,2,48,48,223
403242,2,460,460,223
204151,1,1392,1392,107
11208,1,3915,3915,3
344242,2,5,5,188
547911,2,941,941,316
270079,1,830,830,148
59694,1,1333,1333,29
330979,2,7,7,180
257838,1,21,21,141
129276,1,590,590,63
246952,1,1320,1320,126
279624,1,720,720,152
7829,1,536,536,3
108620,1,5517,5517,51
333475,2,1299,1299,182
167180,1,1710,1710,87
40036,2,478,478,17
392663,2,1889,1889,215
144972,1,-3,0,74
210598,1,2032,2032,113
172011,1,2005,2005,88
