Soluble-Soluble, 42, 38, 37, 32, 31, 29, 28, 23, 25, 22, 17, 8, 6, 6, 4, 4, 2, 2
Soluble-Fiber, 14, 8, 6, 6, 4, 6, 4, 4, 4, 3, 3, 2, 2, 1, 0, 1, 0, 0
Soluble-Surface, 6, 6, 5, 3, 7, 4, 5, 6, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0
Soluble-Binder, 13, 10, 10, 10, 8, 9, 8, 10, 6, 6, 5, 3, 3, 2, 2, 2, 2, 2
Surface-Surface, 85, 49, 42, 34, 31, 24, 19, 15, 14, 12, 10, 10, 8, 8, 6, 6, 4, 0
Surface-Fiber, 14, 12, 9, 8, 7, 5, 5, 5, 2, 2, 2, 2, 1, 0, 0, 0, 0, 0
Surface-Binder, 5, 3, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Binder-Binder, 3, 4, 2, 2, 3, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0
Binder-Fiber, 185, 163, 145, 115, 84, 60, 38, 32, 23, 18, 13, 12, 10, 8, 8, 6, 5, 4
Fiber-Fiber, 410, 238, 152, 86, 56, 28, 21, 14, 8, 3, 2, 1, 1, 0, 0, 0, 0, 0
